Id,Name,Tel,Add,Px,Py
1,雙溪打鐵舖,886-2-24931111,新北市227雙溪區中華路7號,121.86594,25.03655
2,橫山梯田,886-2-29603456,新北市207萬里區茂長里、橫山里,121.52273,25.25098
3,中角灣衝浪運動園區,886-2-29603456,新北市208金山區海興路49號,121.6306,25.23972
4,松子腳砲臺遺址,886-2-26102621,新北市249八里區,121.40264,25.14453
5,三峽農特產文化館,886-2-26723868,新北市237三峽區正義街18號,121.36979,24.91991
6,光淙金工藝術館,886-2-86014430,新北市244林口區粉寮路一段104號,121.40011,25.08193
7,HA SOCK襪子娃娃專賣店,886-9-31277380,新北市223石碇區碇坪路一段136-1號,121.65993,24.9915
8,三個磅空自行車道,886-2-24972250,新北市224瑞芳區猴硐柴寮路北側外圍(福住隧道旁),121.82823,25.08833
9,萬里大鵬足湯公園,886-2-4922064,新北市207萬里區加投路81號,121.64831,25.21302
10,新莊晶冠廣場,886-2-85229968,新北市242新莊區五工路66號,121.45894,25.064
11,宏匯廣場,886-2-85128366,新北市242新莊區新北大道4段3號,121.44957,25.05968
12,八里商港公園,886-2-29603456,新北市249八里區八里區商港八路,121.40018,25.15031
13,文山農場,886-2-26667512,新北市231新店區湖子內路100號,121.54323,24.93014
14,國旗嶺,886-2-29603456,新北市235中和區中興街263巷38號,121.49818,24.98453
15,四分尾山,886-2-29603456,新北市221汐止區石汐路,121.68064,25.0412
16,烏來覽勝大橋,886-2-29603456,新北市233烏來區攬勝大橋,121.55136,24.86192
17,花園新城,886-2-26669984,新北市231新店區新北市新店區花園一路一段2號,121.55105,24.93416
18,金瓜寮溪自行車道,886-2-26657251,新北市232坪林區金瓜寮,121.67997,24.91459
19,三芝遊客中心及名人文物館,886-2-86355143,新北市252三芝區埔坪里埔頭坑164-2號,121.50774,25.24899
20,台灣原住民族企業社(瑪伐流國際工藝社),886-2-35018726,新北市238樹林區柑園街一段133巷6號B棟,121.40312,24.95593
21,文山煤礦公車站,886-2-29603456,新北市223石碇區番子坑,121.67719,25.01064
22,瓊仔湖公園步道,886-2-29099551,新北市243泰山區黎明路,121.42334,25.05091
23,菁桐古道,886-2-24951510,新北市226平溪區菁桐古道,121.71855,25.03676
24,龍泉溪系步道,886-2-29603456,新北市237三峽區龍泉溪步道,121.43938,24.93621
25,公司田溪程氏古厝,886-2-28056610,新北市251淡水區新民街一段138巷7號,121.42821,25.18946
26,阮的肉干產業概念館,886-2-29805576,新北市241三重區重新路4段27號,121.48839,25.05788
27,鶯歌陶趣家馬賽克DIY工坊,886-2-26772709,新北市239鶯歌區尖山埔路55巷6號,121.34832,24.95078
28,林益和堂中藥店,886-2-24931333,新北市227雙溪區長安街3號,121.86456,25.0346
29,金山慈護宮,886-2-24982510,新北市208金山區金包里街16號,121.64028,25.22092
30,野柳里登山步道,886-2-24922064,新北市207萬里區港東路6至8號間巷弄,121.68549,25.19831
31,內溝山 翠湖步道,886-2-29603456,新北市221汐止區湖東街,121.63116,25.08499
32,博愛藝術街,886-2-29282828,新北市234永和區博愛街,121.51781,25.01584
33,淡江大學海事博物館,886-2-26238343,新北市251淡水區英專路151號,121.45042,25.17619
34,虎寮潭吊橋,886-2-26657251,新北市232坪林區虎寮潭,121.74071,24.95035
35,四腳亭砲台,886-2-24972250,新北市224瑞芳區四腳亭,121.78287,25.11659
36,二號倉庫．文創,886-2-26361052,新北市252三芝區中山路一段4號(三芝農會旁),121.5007,25.25869
37,源興居,886-2-26362111,新北市252三芝區埔坪里埔頭坑 164-2 號,121.50904,25.24926
38,軟橋段親水公園,886-2-24931111,新北市227雙溪區新寮子,121.8395,25.03361
39,石門風箏公園,886-2-26381721,新北市253石門區老梅社區老梅溪旁,121.54871,25.2897
40,台灣不二衛生套知識館,886-2-37655005,新北市251淡水區行忠路132號,121.4551,25.19864
41,湳仔溝鐵馬驛站,886-2-29603456,新北市220板橋區環河西路五段500號,121.44806,25.02114
42,永續環境教育中心,886-2-26100305,新北市249八里區觀海大道36號,121.43028,25.16072
43,北大特區藝術大道,886-2-26711017,新北市237三峽區學勤路,121.37539,24.94635
